('label', 198867.95344307285)
('deafheaven', 197186.2866652182)
('stylize', 196736.06994266523)
('bewilder', 196460.33946944596)
('mogwai', 196188.5707194172)
('vocalist', 196116.18831265657)
('kilter', 194863.74068432619)
('woozy', 194838.2983956995)
('collaborator', 194676.60422761424)
('hecker', 193741.7564614018)
('riperton', 193142.90934197)
('wordless', 191081.28629095407)
('dissonant', 189812.39108523447)
('mangum', 189773.31796596566)
('instrumentals', 188180.5058959527)
('fahey', 187428.31807562723)
('seethe', 187395.11068836416)
('morricone', 187314.037967323)
('sparklehorse', 186138.8194311067)
('debut', 185298.3385047003)
('christgau', 185002.6140165248)
('berninger', 184833.92621167094)
('pummel', 183148.80025029145)
('gurgle', 181665.05131793025)
('snaith', 181459.13916613496)
('minimalism', 181331.1939564122)
('funkadelic', 180998.33827570008)
('roil', 180837.91207969183)
('pallett', 180837.91207969183)
('release', 180522.77181177124)
('madvillainy', 180399.60359270815)
('frontman', 179728.67147353763)
('brainfeeder', 178951.26786940868)
('atmospherics', 176619.80236663413)
('opener', 176068.6845436833)
('yowl', 175961.37386444816)
('prog', 175571.89187172888)
('chime', 174910.67614304562)
('danceable', 172603.12214841906)
('wistful', 171417.7867005587)
('shimmer', 171270.66995069128)
('phair', 170943.22736787034)
('motown', 169307.65371985026)
('lyrical', 168885.2590857196)
('leimer', 168184.19456047707)
('rustie', 167804.22408265257)
('fripp', 167042.80204102187)
('listener', 165828.22451736045)
('forebear', 164419.34306640367)
('ladytron', 164105.44584885065)
('westerberg', 163182.36360013162)
('bite', 162637.89278494453)
('rós', 161750.51659457287)
('fernow', 161624.40712835372)
('interlude', 159434.65381001314)
('folk', 158704.73878259998)
('arpeggiated', 158095.48994214513)
('kylesa', 157962.78365952117)
('corgan', 157568.8645967576)
('touchstones', 157493.08451926455)
('villalobos', 154919.8480248891)
('inspire', 153242.92737231616)
('soundtracked', 153230.9885938063)
('flügel', 152969.04407724846)
('soundscapes', 152660.503962576)
('seem', 152231.3408348369)
('signifiers', 150035.4232660886)
('centerpiece', 149805.90080756493)
('poppier', 149788.81919180576)
('raczynski', 148432.44699245528)
('lyrically', 147861.39039170154)
('juxtapose', 146841.55029200824)
('lacerate', 146488.69850134372)
('locrian', 146393.96974085312)
('tuneful', 146299.64963080204)
('deprecate', 146134.27172489368)
('listeners', 146045.67807947658)
('backbeat', 145644.84924498136)
('ornette', 145106.58719111295)
('wailer', 144829.86127406446)
('liner', 144380.61609368998)
('sylvian', 144074.53046312774)
('dub', 144026.0987364705)
('jaar', 143215.6312994482)
('britpop', 142769.48972417458)
('dexys', 142319.71017128974)
('plaintive', 141765.00749208897)
('haunt', 141505.09577607253)
('tune', 141241.26938919278)
('sludgy', 141230.78870766918)
('eyehategod', 140411.36325290767)
('fela', 139569.7413365041)
('dirge', 139393.73978866858)
